fips_code,population
26075,159741
26075,
26077,
26077,258818
26079,
26079,17394
26081,629237
26081,
26083,
26083,2217
26085,11341
26085,
26087,88153
26087,
26089,
26089,21915
26091,99047
26091,
26093,185596
26093,
26095,6426
26095,
26097,
26097,11042
26099,860112
26099,
26101,24420
26101,
26103,67676
26103,
26105,
26105,28824
26107,
26107,43186
26109,23714
26109,
26111,
26111,83427
26113,15037
26113,
26115,149824
26115,
26117,
26117,62893
26119,
26119,9300
26121,172344
26121,
26123,47900
26123,
26125,1237868
26125,
26127,
26127,26221
26129,21039
26129,
26131,
26131,6172
26133,23169
26133,
26135,8371
26135,
26137,24158
26137,
26139,
26139,276292
26141,
26141,13004
26143,23955
26143,
26145,
26145,195012
26147,
26147,160078
26149,60946
26149,
26151,
26151,41587
26153,8171
26153,
26155,
26155,68933
26157,54000
26157,
26159,
26159,75199
26161,356874
26161,
26163,
26163,1764804
26165,32886
26165,
27000,
27001,
27001,15771
27003,
27003,341864
27005,
27005,33259
27007,45664
27007,
27009,39506
27009,
27011,
27011,5127
27013,65385
27013,
27015,
27015,25292
27017,
27017,35571
27019,
27019,97338
27021,
27021,28559
27023,12110
27023,
27025,
27025,54025
27027,
27027,61286
27029,8791
27029,
27031,5233
27031,
27033,
27033,11633
27035,
27035,63265
27037,412529
27037,
27039,20353
27039,
27041,
27041,36790
27043,
27043,14192
27045,
27045,20776
27047,
27047,30840
27049,46423
27049,
27051,5956
27051,
27053,1212064
27053,
27055,18738
27055,
27057,20573
27057,
27059,
27059,38413
27061,
27061,45589
27063,10269
27063,
27065,
27065,15930
27067,
27067,42285
27069,4435
27069,
27071,
27071,12856
27073,
27073,6891
27075,
27075,10680
27077,3918
27077,
27079,27770
27079,
27081,
27081,5788
27083,25665
27083,
27085,
27085,35882
27087,
27087,5505
27089,
27089,9417
27091,
27091,20220
27093,23107
27093,
27095,25884
27095,
27097,
27097,32810
27099,
27099,39323
27101,8470
27101,
27103,
27103,33093
27105,21590
27105,
27107,
27107,6639
27109,
27109,150287
27111,
27111,57635
27113,
27113,14058
27115,29095
27115,
27117,9281
27117,
27119,
27119,31704
27121,10984
27121,
27123,532655
27123,
27125,4043
27125,
27127,15515
27127,
27129,15025
27129,
27131,65151
27131,
27133,9553
27133,
27135,
